owner_acronym,sum_effective_value
cbsa,88410560.54
ic,23535838.56
ssc,18055992.84
pspc,11380354.24
just,10058264.96
pch,6645949.13
dfo,6472615.89
pc,6164536.12
tc,6152207.37
gac,4389238.43
rcmp,4163188.70
nrcan,3878963.25
agr,3483820.94
ircc,2542305.00
osfi,2499902.67
pco,2358482.04
dnd,2185901.02
cra,1600515.16
ced,1276754.54
nserc,1191144.38
cnsc,1118270.60
pptc,847972.13
cfia,542761.74
oag,532292.72
esdc,527011.77
atssc,89310.68
phac,72461.25
psc,70681.00
ps,62150.00
tsb,60160.67
csps,58430.04
csa,37432.44
infra,28476.00
cihr,24973.00
lac,24255.00
hc,24153.75
