vendor_normalized,effective_year,sum_yearly_value
440 LAURIER HOLDINGS,2018,198980.83
440 LAURIER HOLDINGS,2019,198980.83
CANADIAN CORPS OF COMMISSIONAIRES,2019,518993.46
EQUASION BUSINESS,2018,315778.50
EQUASION BUSINESS,2019,362456.54
MAPLESOFT CONSULTING,2018,231202.24
MAPLESOFT CONSULTING,2019,363925.68
NISHA TECHONOLOGIES,2019,357937.56
NITAM SOLUTIONS,2019,406493.77
ORANGUTECH,2019,325298.75
SI SYSTEMS,2018,138266.80
SI SYSTEMS,2019,188979.01
TEKSYSTEMS CANADA,2018,309540.90
TEKSYSTEMS CANADA,2019,309540.90
VERITAAQ TECHNOLOGY HOUSE,2016,328618.13
VERITAAQ TECHNOLOGY HOUSE,2017,328618.13
VERITAAQ TECHNOLOGY HOUSE,2018,363419.90
VERITAAQ TECHNOLOGY HOUSE,2019,363419.90
