source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,632,353,279,6036305.26,52283556.62
2011,463,225,238,3808589.67,106743733.60
2012,241,110,131,1792578.51,23964442.78
2013,399,194,205,3337296.37,33909205.79
2014,284,144,140,2322871.80,39240838.52
2015,395,219,176,3726929.16,50262699.97
2016,305,162,143,2875755.50,52735095.60
2017,245,119,126,2074484.26,24931403.58
2018,171,99,72,1780362.80,14932527.20
2019,245,95,150,1622266.36,38809590.27
