source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2016,1,0,1,0.00,60000.00
2017,2,1,1,12976.38,54952.00
2018,6,6,0,94832.50,0.00
2019,1,1,0,21600.00,0.00
