vendor_normalized,effective_year,sum_yearly_value
ARTEMP PERSONNEL SERVICES,2018,10875.00
ARTEMP PERSONNEL SERVICES,2019,10875.00
LARIMAR STARTEGIES,2018,10800.00
LARIMAR STARTEGIES,2019,10800.00
LARIMAR STRATEGIES,2019,21600.00
MLT AIKANS,2018,7514.50
MLT AIKANS,2019,7514.50
NICOLE CHENEVERT MIQUELON,2018,6600.00
NICOLE CHENEVERT MIQUELON,2019,9900.00
PUBLIC WORKS CANADA,2016,30000.00
PUBLIC WORKS CANADA,2017,30000.00
STATISTIC CANADA,2017,54952.00
STEVES PHOTO,2018,2500.00
STEVES PHOTO,2019,2500.00
THE GLOBE MAIL,2017,12976.38
THE WINNIPEG FAIRMONT,2019,18253.50
