vendor_normalized,effective_year,sum_yearly_value
BELL CANADA,2017,3510280.20
BELL CANADA,2018,2000000.00
BELL CANADA,2019,50000.00
ERNST YOUNG,2016,46841.55
ERNST YOUNG,2017,1587530.00
ERNST YOUNG,2018,1414300.00
ERNST YOUNG,2019,101800.00
GENESIS,2017,2086635.93
GENESIS,2019,14683.41
GENESIS INTEGRATION,2014,687177.57
GENESIS INTEGRATION,2015,687177.57
GENESIS INTEGRATION,2016,768088.42
GENESIS INTEGRATION,2017,55899.39
GENESIS INTEGRATION,2018,12337.50
GENESIS INTEGRATION,2019,12337.50
ISI GLOBAL WEBCASTING,2015,592700.42
ISI GLOBAL WEBCASTING,2016,592700.42
ISI GLOBAL WEBCASTING,2017,592700.42
ISI GLOBAL WEBCASTING,2018,305140.42
ISI GLOBAL WEBCASTING,2019,66764.17
MAPLESOFT CONSULTING,2015,2854810.29
MAPLESOFT CONSULTING,2016,3258301.58
MAPLESOFT CONSULTING,2017,9282155.86
MAPLESOFT CONSULTING,2018,2717532.66
MAPLESOFT CONSULTING,2019,1728614.54
MODIS CANADA,2017,180951.00
MODIS CANADA,2018,1166986.08
MODIS CANADA,2019,1630677.94
SI SYSTEMS,2015,1333333.33
SI SYSTEMS,2016,1642908.19
SI SYSTEMS,2017,4438377.86
SI SYSTEMS,2018,2824428.50
SI SYSTEMS,2019,2921770.87
S I SYTEMS,2017,1083333.33
S I SYTEMS,2018,1083333.33
S I SYTEMS,2019,1083333.33
UNIVERSITY OF CALGARY,2016,493505.24
UNIVERSITY OF CALGARY,2017,493505.24
UNIVERSITY OF CALGARY,2018,493505.24
UNIVERSITY OF CALGARY,2019,493505.24
