source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2017,34,15,19,276905.65,2081369.90
2018,33,24,9,528814.73,854025.06
2019,44,8,36,163890.81,1960560.90
