source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2017,34,10,5,19,153609.15,123296.50,2081369.90
2018,33,11,14,8,206359.60,347742.27,828737.92
2019,44,4,8,32,66264.95,198588.35,1859598.41
