owner_acronym,total_entries,total_contracts,total_amendments
esdc,86,65,21
pspc,70,49,21
gac,34,23,11
ircc,32,26,6
agr,32,20,12
ec,31,20,11
pch,27,13,14
pptc,23,17,6
inac,23,12,11
dfo,23,17,6
cbsa,23,19,4
osfi,20,7,13
tbs,20,17,3
cra,20,14,6
dnd,19,17,2
ssc,19,12,7
nrcan,18,17,1
cfia,17,13,4
hc,15,12,3
nrc,11,11,0
ic,11,11,0
ps,11,11,0
infra,11,9,2
cnsc,10,9,1
phac,10,7,3
nserc,9,9,0
pc,9,8,1
tc,9,9,0
cihr,7,7,0
fin,4,3,1
pco,4,4,0
isc,4,4,0
oag,4,3,1
rcmp,3,3,0
ppsc,3,3,0
csc,2,1,1
ced,2,1,1
atssc,2,1,1
chrc,1,1,0
csps,1,1,0
iaac,1,1,0
csa,1,1,0
just,1,1,0
cta,1,1,0
pbc,1,1,0
cgc,1,1,0
cer,1,1,0
psc,1,1,0
cc,1,1,0
stats,1,1,0
