owner_acronym,sum_effective_value
pspc,44180884.18
ssc,7552314.58
cbsa,6576754.94
ec,6471323.36
esdc,3457301.32
inac,3217059.88
pptc,2725612.51
pch,2349928.51
agr,2182726.81
ircc,1930362.67
tbs,1918059.79
gac,1531619.24
osfi,1360572.76
hc,1222656.63
dnd,1211615.73
nserc,1093829.40
cra,956392.06
ic,851774.96
dfo,726039.00
isc,711087.28
cfia,708666.30
tc,693972.37
infra,471852.97
ps,462626.24
nrcan,442341.34
nrc,394178.00
phac,365690.61
pc,341429.34
fin,241537.50
cnsc,235266.00
ppsc,150638.04
atssc,146900.00
csc,145685.83
rcmp,142492.50
pco,123560.12
cihr,121456.67
oag,110722.40
cer,98000.00
cgc,78670.00
cc,48621.33
csps,43856.00
psc,35567.00
ced,35102.50
iaac,27990.00
cta,24892.09
just,22035.00
csa,20178.11
pbc,14238.00
