gen_vendor_normalized,total_entries,total_contracts,total_amendments
EXCEL HUMAN RESOURCES,81,47,34
NISHA TECHONOLOGIES,50,44,6
CANADIAN CORPS OF COMMISSIONAIRES,39,31,8
SI SYSTEMS,38,16,22
KNOWLEDGE CIRCLE,34,30,4
PROMAXIS,31,16,15
CALIAN,28,17,11
QMR,27,18,9
VERITAAQ TECHNOLOGY HOUSE,26,12,14
LUMINA IT,25,15,10
MAPLESOFT CONSULTING,25,14,11
IBM CANADA,24,23,1
RANDSTAD,23,11,12
SAMSON AND ASSOCIATES,23,20,3
LANNICK CONTRACT SOLUTIONS,21,6,15
ALLIANCE FRANCAISE,21,20,1
ADVANCED BUSINESS INTERIORS,21,21,0
GARTNER,19,19,0
HARRINGTON STAFFING,19,15,4
ALTIS HUMAN RESOURCES,19,14,5
BRECKENHILL,19,11,8
PRINTERS PLUS,19,19,0
INTEGRATING SOLUTIONS,19,13,6
MINDWIRE SYSTEMS,19,13,6
PROFESSIONAL COMPUTER,19,14,5
CBCI TELECOM,18,18,0
ITEX,17,17,0
GAMBLE TECHNOLOGIES,17,17,0
MODIS CANADA,16,10,6
PRECISIONIT,16,6,10
CHANNEL SYSTEMS,15,9,6
STRATUM ASSOCIATES,14,11,3
CISTEL TECHNOLOGY,14,6,8
TELUS CANADA,13,13,0
SOFTCHOICE,13,13,0
STIFF SENTENCES,13,7,6
PROCOM CONSULTANTS,13,7,6
MICROSOFT CANADA,13,10,3
CHUBB EDWARDS,12,7,5
SYSTEMES ET SERVICES,12,12,0
ISI GLOBAL WEBCASTING,12,11,1
AON REED STENHOUSE,12,6,6
ADVANCED CHIPPEWA TECHNOLOGIES,11,11,0
UNIVERSITY OF OTTAWA,11,11,0
TEKSYSTEMS CANADA,11,5,6
CANBERRA,11,9,2
CENTRE FOR EXCELLENCE IN,11,7,4
DELOITTE AND TOUCHE,11,11,0
NORTHERN MICRO,10,10,0
CANADIAN NUCLEAR ASSOCIATION,10,9,1
MICHAEL WAGER CONSULTING,10,3,7
BDO CANADA,10,9,1
ACCESS CORPORATE TECHNOLOGIES,9,6,3
PLEIAD CANADA,9,5,4
