source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,440,199,76,165,3311073.80,1883713.92,13507622.50
2011,244,113,31,100,1838409.54,773646.44,9394664.43
2012,298,145,30,123,2473832.34,744624.27,10491622.51
2013,250,118,35,97,1860950.65,868125.47,9284987.60
2014,224,95,34,95,1487780.66,843600.29,11682828.57
2015,158,64,25,69,979001.31,621500.02,7521350.30
2016,179,65,25,89,1082385.06,619574.78,10643375.09
2017,160,55,24,81,885283.17,595258.58,9388574.50
2018,151,57,23,71,942862.83,569350.63,12063078.20
2019,173,72,14,87,1194870.93,347092.75,11599500.74
