owner_acronym,total_entries,total_contracts,total_amendments
ssc,400,290,110
pspc,167,153,14
ec,33,33,0
dnd,31,30,1
ic,13,13,0
rcmp,12,11,1
nserc,7,7,0
cihr,6,6,0
cas,5,5,0
inac,4,4,0
ps,3,3,0
nrc,3,3,0
vac,2,2,0
gac,2,2,0
isc,2,2,0
pch,2,2,0
osfi,1,1,0
pc,1,1,0
atssc,1,1,0
ppsc,1,1,0
csps,1,1,0
csa,1,1,0
cra,1,1,0
cgc,1,1,0
stats,1,1,0
dfo,1,1,0
