source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,94,0,94,0.00,77319568.00
2011,168,6,162,99135.00,141822597.00
2012,240,20,220,290915.00,147675750.00
2013,1252,652,600,10359005.00,153947168.00
2014,2834,1607,1227,25337632.00,234381780.00
2015,3254,1765,1489,28058652.00,187122398.00
2016,3599,1665,1934,26020669.31,559460142.37
2017,3680,1881,1799,29734965.86,349173004.70
2018,3588,2014,1574,31888695.07,309049775.22
2019,3334,1799,1535,28179549.88,246168917.58
