vendor_normalized,effective_year,sum_yearly_value
AKUFEN ATELIER CREATIF,2017,77025.00
AKUFEN ATELIER CREATIF,2018,441776.82
AKUFEN ATELIER CREATIF,2019,115089.98
APPLIED ELECTONICS,2017,339179.40
APPLIED ELECTONICS,2018,604560.21
APPLIED ELECTONICS,2019,690885.51
BELL CANADA,2017,201280.00
BELL CANADA,2018,244845.48
BELL CANADA,2019,615869.14
CEV,2017,54542.50
CEV,2018,913243.82
CEV,2019,19830.43
CREOS EXPERTS CONSEILS,2017,357946.00
CREOS EXPERTS CONSEILS,2018,33593.54
CREOS EXPERTS CONSEILS,2019,33593.54
CSI LEASING CANADA,2017,106200.72
CSI LEASING CANADA,2018,38107.32
CSI LEASING CANADA,2019,626949.23
DEPARTEMENT STUDIO CREATIF,2018,349982.27
DEPARTEMENT STUDIO CREATIF,2019,123563.69
JAM3,2017,520590.00
SOFTCHOICE,2017,162065.05
SOFTCHOICE,2018,542372.27
SOFTCHOICE,2019,909621.48
TEKNION,2019,1504780.06
