source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,74,46,28,835414.00,1203997.00
2011,93,64,29,1107321.00,1475568.00
2012,109,79,30,1351961.00,1262545.00
2013,88,73,15,1217765.00,724833.00
2014,72,58,14,966630.00,592451.00
2015,36,23,13,398030.46,501387.57
2016,7,5,2,61107.10,89801.10
2017,47,32,15,520122.79,732330.24
2018,40,36,4,716032.20,323553.83
2019,81,59,22,964550.14,1471430.99
