source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,74,41,7,26,713014.00,174212.00,1152185.00
2011,93,58,6,29,960728.00,146593.00,1475568.00
2012,109,70,12,27,1131166.00,297351.00,1185989.00
2013,88,66,9,13,1044834.00,223163.00,674601.00
2014,72,53,7,12,843430.00,173299.00,542352.00
2015,36,20,5,11,323958.96,124703.11,450755.96
2016,7,5,0,2,61107.10,0.00,89801.10
2017,47,29,4,14,445152.93,99969.86,707330.24
2018,40,23,13,4,395421.03,320611.17,323553.83
2019,81,56,7,18,891325.46,173862.73,1370792.94
