owner_acronym,sum_effective_value
cra,150771503.04
ssc,64870580.40
ircc,61038470.34
pspc,56553614.84
cbsa,34172499.29
ic,19161032.90
esdc,16481618.47
nrcan,14884325.51
phac,14545181.46
tbs,12401587.96
gac,11784268.25
ec,11379197.23
agr,10773257.59
osfi,9093014.34
rcmp,8582775.87
dnd,5015272.40
tc,3741276.51
hc,2271529.30
pc,1967509.37
elections,1520831.84
irb,1384076.06
cnsc,1374912.81
pch,536176.38
just,489966.61
pco,179698.27
stats,177839.40
fin,151693.40
ps,70840.00
nserc,38476.50
ppsc,36750.00
psc,24900.00
