source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,969,381,82,506,5965885.96,2026431.24,221372214.00
2011,692,274,59,359,4436769.71,1458116.40,237175353.19
2012,680,215,57,408,3527108.40,1418378.10,166751011.31
2013,638,212,48,378,3382913.55,1190671.40,69598966.14
2014,561,171,27,363,2877947.82,668254.34,67158467.72
2015,652,163,44,445,2618896.33,1095004.77,372843493.91
2016,581,158,33,390,2464635.94,811140.22,89145298.54
2017,517,124,24,369,2083966.47,593850.11,141582718.68
2018,649,144,29,476,2424405.09,720319.74,124543276.47
2019,639,128,28,483,2058683.56,698357.88,348303398.45
