source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,969,452,517,7714278.93,221650252.27
2011,692,328,364,5768985.44,237301253.86
2012,680,261,419,4666984.97,167029512.84
2013,638,254,384,4420332.97,69752218.12
2014,561,193,368,3418586.08,67286083.80
2015,652,194,458,3382807.99,373174587.02
2016,581,191,390,3275776.16,89145298.54
2017,517,144,373,2576343.69,141684191.57
2018,649,169,480,3043009.82,124644991.48
2019,639,149,490,2578459.15,348481980.74
