vendor_normalized,effective_year,sum_yearly_value
AUGUSTE SOLUTIONS AND ASSOCIATES,2016,89927.00
AUGUSTE SOLUTIONS AND ASSOCIATES,2017,89927.00
ERNST YOUNG,2017,32642.88
ERNST YOUNG,2018,32642.88
FIRST AIR,2018,67918.16
FIRST AIR,2019,134986.23
NORTHERN MICRO,2018,217979.51
NORTHERN MICRO,2019,22974.88
NVISION INSIGHT GROUP,2018,35773.61
NVISION INSIGHT GROUP,2019,45213.61
PIRURVIK CENTRE,2016,11550.00
PIRURVIK CENTRE,2017,11550.00
PIRURVIK CENTRE,2018,70595.86
PIRURVIK CENTRE,2019,28798.43
PRESIDIA SECURITY CONSULTING,2018,38900.00
PRESIDIA SECURITY CONSULTING,2019,38900.00
STRATOS,2017,49550.50
STRATOS,2019,19800.00
THE RIGHT DOOR CONSULTING,2018,238204.00
THE RIGHT DOOR CONSULTING,2019,24238.50
XEROX,2015,8654.39
XEROX,2016,13981.26
XEROX,2017,16116.17
XEROX,2018,19693.31
XEROX,2019,19693.31
