gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ADVANCED BUSINESS INTERIORS,2016,1,1,0
ADVANCED BUSINESS INTERIORS,2018,1,1,0
ADVANCED BUSINESS INTERIORS,2019,2,2,0
AIR NUNAVUT,2017,1,1,0
AIR NUNAVUT,2019,1,1,0
AUGUSTE SOLUTIONS AND ASSOCIATES,2016,2,1,1
FIRST AIR,2018,2,2,0
FIRST AIR,2019,2,2,0
NORTHERN MICRO,2017,1,1,0
NORTHERN MICRO,2018,2,2,0
NVISION INSIGHT GROUP,2018,2,2,0
NVISION INSIGHT GROUP,2019,1,1,0
PIRURVIK CENTRE,2016,1,1,0
PIRURVIK CENTRE,2017,1,1,0
PIRURVIK CENTRE,2018,1,1,0
STRATOS,2017,2,2,0
STRATOS,2019,1,1,0
THE RIGHT DOOR CONSULTING,2017,1,1,0
THE RIGHT DOOR CONSULTING,2018,2,1,1
THE RIGHT DOOR CONSULTING,2019,1,1,0
XEROX,2016,2,2,0
XEROX,2017,2,2,0
XEROX,2018,1,1,0
