source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2016,8,7,1,119145.00,164854.00
2017,14,9,5,163051.41,353963.80
2018,19,12,7,232303.11,548549.29
2019,22,13,9,216898.93,566676.01
