vendor_normalized,effective_year,sum_yearly_value
ANTHONY MACAULEY ASSOCIATES,2016,160852.23
ANTHONY MACAULEY ASSOCIATES,2017,241278.34
ANTHONY MACAULEY ASSOCIATES,2018,326395.48
ANTHONY MACAULEY ASSOCIATES,2019,259607.28
ANTHONY MACAULEY ASSOCIATES VICTORIA,2010,109997.40
ANTHONY MACAULEY ASSOCIATES VICTORIA,2011,109997.40
ANTHONY MACAULEY ASSOCIATES VICTORIA,2012,321014.28
ANTHONY MACAULEY ASSOCIATES VICTORIA,2013,404675.84
ANTHONY MACAULEY ASSOCIATES VICTORIA,2014,317126.93
ANTHONY MACAULEY ASSOCIATES VICTORIA,2015,239170.55
ANTHONY MACAULEY ASSOCIATES VICTORIA,2016,155773.57
ANTHONY MACAULEY ASSOCIATES VICTORIA,2017,159873.93
ANTHONY MACAULEY ASSOCIATES VICTORIA,2018,83137.14
AV BRUCE ASSOCIATES,2010,143312.25
AV BRUCE ASSOCIATES,2011,106979.93
AV BRUCE ASSOCIATES,2012,110313.71
AV BRUCE ASSOCIATES,2013,150860.93
AV BRUCE ASSOCIATES,2014,173138.60
AV BRUCE ASSOCIATES,2015,48010.88
AV BRUCE ASSOCIATES,2016,58055.75
AV BRUCE ASSOCIATES,2017,79028.00
AV BRUCE ASSOCIATES,2018,60410.25
AV BRUCE ASSOCIATES,2019,183700.00
BELL CANADA,2010,6300.00
BELL CANADA,2017,428823.50
BELL CANADA,2018,428823.50
BELL CANADA,2019,428823.50
CDW CANADA,2015,25757.46
CDW CANADA,2016,25757.46
CDW CANADA,2017,74349.53
CDW CANADA,2018,222242.97
CDW CANADA,2019,269902.47
MICROSOFT CANADA,2010,319371.29
MICROSOFT CANADA,2011,688945.10
MICROSOFT CANADA,2012,374548.59
MICROSOFT CANADA,2013,437701.47
MICROSOFT CANADA,2014,120782.88
MICROSOFT CANADA,2015,115260.00
MICROSOFT CANADA,2016,115260.00
MICROSOFT CANADA,2017,115260.00
MICROSOFT CANADA,2018,117520.00
MICROSOFT CANADA,2019,498600.05
NORTHERN MICRO,2012,78762.85
NORTHERN MICRO,2013,44442.90
NORTHERN MICRO,2014,180332.91
NORTHERN MICRO,2015,192526.37
ORACLE CANADA,2010,59349.90
ORACLE CANADA,2011,91104.97
ORACLE CANADA,2012,62358.93
ORACLE CANADA,2013,63606.11
ORACLE CANADA,2014,32439.12
ORACLE CANADA,2015,98614.92
ORACLE CANADA,2016,133676.31
ORACLE CANADA,2017,35993.79
ORACLE CANADA,2018,71728.41
ORACLE CANADA,2019,72183.92
PRIORITY PERSONNEL,2010,241886.47
PRIORITY PERSONNEL,2011,37423.70
PRIORITY PERSONNEL,2012,49404.83
PRIORITY PERSONNEL,2013,98785.91
PRIORITY PERSONNEL,2014,148688.34
PRIORITY PERSONNEL,2015,46612.45
PRIORITY PERSONNEL,2016,82902.81
PRIORITY PERSONNEL,2017,49093.03
PRIORITY PERSONNEL,2018,25212.60
SKYRIDGE SYSTEMS,2010,149160.00
SKYRIDGE SYSTEMS,2011,112717.50
SKYRIDGE SYSTEMS,2012,178732.10
SKYRIDGE SYSTEMS,2013,111553.60
SKYRIDGE SYSTEMS,2014,221932.00
SKYRIDGE SYSTEMS,2015,170856.00
SKYRIDGE SYSTEMS,2016,127176.00
SKYRIDGE SYSTEMS,2017,108962.50
SKYRIDGE SYSTEMS,2018,166620.50
SKYRIDGE SYSTEMS,2019,145780.00
