owner_acronym,sum_effective_value
esdc,36316982.94
pspc,11813584.17
tbs,6303807.43
cra,6239181.52
gac,4454554.41
dnd,3281799.87
inac,3080270.16
agr,2712351.17
cer,2231905.30
tc,1976185.05
ic,1958015.14
just,1535572.97
cbsa,1173411.89
nrcan,1038789.87
ircc,970298.66
oag,779149.24
ps,613324.45
nrc,542484.75
pch,491775.96
feddev,405302.87
rcmp,366120.00
csc,311901.87
cfia,308465.15
fin,276453.50
dfo,268885.50
nserc,243182.77
stats,226000.00
cihr,211310.00
csps,210858.00
fcac,193389.80
infra,186856.81
fja,178680.00
ssc,119780.00
pptc,102011.70
nbc,101408.40
cnsc,84973.00
cannor,65285.75
pc,50452.50
lac,48289.50
osfi,47600.00
ec,46400.00
hc,45200.00
phac,45200.00
cc,42108.60
psic,31131.50
pco,21060.00
ced,19687.50
ppsc,10092.03
