gen_vendor_normalized,total_entries,total_contracts,total_amendments
HOSKIN SCIENTIFIC,486,459,27
CANON,425,321,104
EXCEL HUMAN RESOURCES,345,211,134
BC CONSERVATION FOUNDATION,333,229,104
ALTIS HUMAN RESOURCES,281,211,70
FISHER SCIENTIFIC,255,252,3
AGILENT,246,242,4
CANADIAN CORPS OF COMMISSIONAIRES,213,183,30
XEROX,212,128,84
FORD MOTOR COMPANY,197,193,4
CAMPBELL SCIENTIFIC CANADA,169,148,21
AXYS TECHNOLOGIES,165,154,11
CANADIAN HELICOPTERS,153,144,9
TRM TECHNOLOGIES,134,130,4
AXYS ANALYTICAL SERVICES,133,101,32
NISHA TECHONOLOGIES,133,126,7
CD NOVA TECH,129,122,7
VWR INTERNATIONAL,124,121,3
SOFTCHOICE,121,118,3
AIR TINDI,120,113,7
ECOLE DE LANGUES LA CITE,119,101,18
VERITAAQ TECHNOLOGY HOUSE,118,79,39
RICOH,116,75,41
JOHNSON CONTROLS,112,93,19
CAMPBELL SCIENTIFIC,108,102,6
DASCO EQUIPMENT,105,104,1
BARBARA PERSONNEL,100,56,44
FTS FOREST TECHNOLOGY SYSTEMS,90,87,3
GREAT SLAVE HELICOPTERS,90,85,5
ALTRUISTIC INFORMATICS CONSULTING,87,67,20
RONDAR,85,79,6
MAPLESOFT CONSULTING,85,63,22
QUANTUM MANAGEMENT SERVICES,83,36,47
LES GAZ SPECIAUX MEGS,82,77,5
LOTEK WIRELESS,81,78,3
VAISALA,81,65,16
GENERAL MOTORS,80,80,0
ESRI,79,73,6
PORTAGE PERSONNEL,78,38,40
THERMO FISHER SCIENTIFIC,78,75,3
AIR LIQUIDE CANADA,77,73,4
DELL COMPUTER,76,76,0
CHEMINFO SERVICES,71,70,1
TERAMACH TECHNOLOGIES,69,66,3
SYSTEMATIX SOLUTIONS,68,49,19
PRAXAIR DISTRIBUTION,68,59,9
VAISALA CANADA,67,60,7
SUTRON,67,67,0
STANTEC,66,60,6
RANDSTAD,64,49,15
PRAXAIR CANADA,64,62,2
NORTHERN MICRO,60,59,1
