source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,3559,2480,1079,39602601.57,99502929.46
2011,3460,2498,962,39743337.86,88518038.51
2012,3335,2411,924,38578956.27,93783476.52
2013,3506,2573,933,41044745.91,82891761.52
2014,3111,2254,857,35835795.66,89661072.05
2015,2592,1672,920,29196502.33,109905217.67
2016,2468,1733,735,30376492.21,164122807.65
2017,1782,1234,548,22455873.17,71765576.19
2018,1160,787,373,14642401.42,137233979.17
2019,2182,1319,863,23809607.15,98327136.65
