source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,3559,2417,116,1026,38055554.08,2890542.65,98159434.30
2011,3460,2434,92,934,38173288.46,2278289.64,87809798.27
2012,3335,2327,119,889,36528586.18,2934861.40,92898985.21
2013,3506,2493,118,895,39074244.33,2935197.29,81927065.81
2014,3111,2169,128,814,33747861.80,3177230.87,88571775.04
2015,2592,1438,289,865,23423369.71,7166654.66,108511695.63
2016,2468,1491,293,684,24397237.44,7271505.39,162830557.03
2017,1782,1017,244,521,17092374.45,6049541.37,71079533.54
2018,1160,620,188,352,10514868.52,4659333.59,136702178.48
2019,2182,1083,284,815,17984915.00,7042259.69,97109569.11
