owner_acronym,sum_effective_value
ssc,981211438.47
pspc,169991284.30
cra,88856755.24
ircc,63002342.09
gac,53351372.28
dnd,38508824.36
cbsa,32818118.78
just,26978087.96
rcmp,20498716.08
agr,9721926.83
tbs,7310645.16
vac,7051800.00
inac,4538202.86
tc,2387443.28
osfi,2213452.82
ic,1866438.00
dfo,1406634.41
pc,941645.25
phac,893127.43
atssc,702683.09
hc,678817.56
elections,441378.68
fcac,313462.00
pco,204556.37
ppsc,191196.00
stats,184581.70
cnsc,153690.17
esdc,126168.00
ced,108337.50
psc,97772.00
cihr,81315.27
cfia,50637.56
sshrc,49720.00
nserc,49720.00
ec,34304.76
csa,33363.75
ps,24860.00
nrcan,17447.46
lac,17239.35
infra,-928015.35
