vendor_normalized,effective_year,sum_yearly_value
ADVANCED CHIPPEWA TECHNOLOGIES,2014,27203.09
ADVANCED CHIPPEWA TECHNOLOGIES,2015,595516.41
ADVANCED CHIPPEWA TECHNOLOGIES,2016,310902.35
ADVANCED CHIPPEWA TECHNOLOGIES,2017,644445.56
ADVANCED CHIPPEWA TECHNOLOGIES,2018,348269.96
ADVANCED CHIPPEWA TECHNOLOGIES,2019,605310.59
CANADIAN CORPS OF COMMISSIONAIRES,2013,823578.42
CANADIAN CORPS OF COMMISSIONAIRES,2014,1708976.53
CANADIAN CORPS OF COMMISSIONAIRES,2015,1789734.99
CANADIAN CORPS OF COMMISSIONAIRES,2016,1831318.50
CANADIAN CORPS OF COMMISSIONAIRES,2017,1913526.04
CANADIAN CORPS OF COMMISSIONAIRES,2018,2023537.56
CANADIAN CORPS OF COMMISSIONAIRES,2019,1843758.30
CEV,2012,45309.25
CEV,2013,1252271.65
CEV,2014,45309.25
CEV,2015,93411.78
CEV,2016,93411.78
CEV,2017,185710.26
CEV,2018,311044.87
CEV,2019,1334156.82
IT NET CONSULTANTS,2013,412232.14
IT NET CONSULTANTS,2014,695240.08
IT NET CONSULTANTS,2015,614032.55
IT NET CONSULTANTS,2016,148837.50
IT NET CONSULTANTS,2017,131306.57
IT NET CONSULTANTS,2018,271087.30
IT NET CONSULTANTS,2019,372872.59
LIVINGSTONE ENTERPRISES,2013,81908.10
LIVINGSTONE ENTERPRISES,2014,289668.65
LIVINGSTONE ENTERPRISES,2015,289668.65
LIVINGSTONE ENTERPRISES,2016,620543.98
LIVINGSTONE ENTERPRISES,2017,330875.33
LIVINGSTONE ENTERPRISES,2018,330875.33
MICROSOFT CANADA,2010,324385.21
MICROSOFT CANADA,2011,324385.21
MICROSOFT CANADA,2012,324385.21
MICROSOFT CANADA,2013,407440.71
MICROSOFT CANADA,2014,632019.40
MICROSOFT CANADA,2015,221576.17
MICROSOFT CANADA,2016,340169.34
MICROSOFT CANADA,2017,340169.34
MOBILSHRED RECALL,2014,1902917.74
MODIS CANADA,2012,80136.83
MODIS CANADA,2013,167000.33
MODIS CANADA,2014,314201.78
MODIS CANADA,2015,243588.19
MODIS CANADA,2016,425191.99
MODIS CANADA,2017,241051.37
MODIS CANADA,2018,818218.74
MODIS CANADA,2019,530186.40
ORANGUTECH,2013,61939.50
ORANGUTECH,2014,93276.40
ORANGUTECH,2015,155516.34
ORANGUTECH,2016,178420.41
ORANGUTECH,2017,219058.42
ORANGUTECH,2018,481026.28
ORANGUTECH,2019,1074711.53
TIREE,2014,154973.85
TIREE,2015,38743.47
TIREE,2016,676373.35
TIREE,2017,637629.88
TIREE,2018,844584.88
TIREE,2019,833504.16
