gen_vendor_normalized,total_entries,total_contracts,total_amendments
IT NET CONSULTANTS,50,19,31
CANADIAN CORPS OF COMMISSIONAIRES,50,50,0
SHARP ELECTRONICS,41,30,11
EXCEL HUMAN RESOURCES,35,19,16
ORANGUTECH,34,21,13
MODIS CANADA,24,9,15
CDW CANADA,21,19,2
GARTNER,19,18,1
TITUS INTERNATIONAL,17,10,7
MISHKUMI TECHNOLOGIES,15,15,0
CEV,15,12,3
ADVANCED CHIPPEWA TECHNOLOGIES,14,12,2
SOFTCHOICE,12,12,0
DER GRAPHICS,12,12,0
SI SYSTEMS,12,7,5
HELENE BERNIER,12,10,2
FREEBALANCE,11,11,0
RISTECH COMPANY,11,11,0
SPIRIT STAFFING 3852946 CANADA,11,5,6
CANON,10,6,4
NISHA TECHONOLOGIES,10,10,0
MICROSOFT CANADA,10,10,0
SOCIETE GAMMA,10,7,3
PERSONNEL FORCE TECH FORCE,9,3,6
MAXSYS 3755479 CANADA,9,5,4
EDGAR,9,7,2
DOCUCOM DIGITAL,9,8,1
ALTIS HUMAN RESOURCES,9,6,3
NORTHERN MICRO,9,9,0
GILMORE PRINTING SERVICES,9,3,6
COLLABWARE SYSTEMS,9,7,2
ASOKAN SOLUTIONS DE BUREAU,9,9,0
RICOH,8,5,3
TEKSYSTEMS CANADA,8,2,6
VISTEK,8,4,4
FCI FLEMING COMMUNICATIONS,8,5,3
APPLIED ELECTONICS,8,8,0
CONCETTI DESIGN,7,6,1
TIREE,7,4,3
JEANNOT TRUDEL,7,7,0
CIRESON,7,7,0
ORACLE CANADA,7,7,0
B BOX,7,7,0
MONTEL SMARTSPACE SOLUTIONS,7,7,0
MOERAE SOLUTIONS,7,3,4
PHASELOCK SYSTEMS INTL,7,7,0
TERAMACH TECHNOLOGIES,7,3,4
ADVANCED BUSINESS INTERIORS,7,7,0
KL ARCHIVAL FILM EQUIPMENT 1479007 ONTARIO,7,3,4
ICEFIRE STUDIOS,7,5,2
JOHNSONS BUSINESS INTERIORS,7,7,0
TRM TECHNOLOGIES,7,6,1
BMC SOFTWARE CANADA,6,6,0
LES TRADUCTIONS ATOUT,6,5,1
CBZ,6,4,2
NADINE BOURBONNIERE,6,2,4
QUANTUM MANAGEMENT SERVICES,6,4,2
GENESIS INTEGRATION,6,6,0
AVEPOINT CANADA,6,5,1
TRANSIT AUDIO SERVICES,6,2,4
AON REED STENHOUSE,6,6,0
THE DRAFTING CLINIC CANADA,6,6,0
DYNAMIX OTTAWA,6,6,0
PRESERVATION TECHNOLOGIES,5,3,2
CBCI TELECOM,5,5,0
RETIREMENT PLANNING INSTITUTE,5,4,1
COMPLETE MAILING SERVICE,5,3,2
3M CANADA COMPANY,5,5,0
GEORGE BLOOD,5,2,3
CHANTAL VAILLANCOURT,5,4,1
DELL COMPUTER,5,5,0
ASOKAN BUSINESS INTERIORS,5,5,0
THE AIM GROUP,5,3,2
IMAGE ACCESS,5,5,0
AMS IMAGING,5,5,0
SMITH INDUSPAC,5,5,0
DAY ROSS,5,5,0
HUDON DESBIENS ST GERMAIN ENVIRONNEMENT,5,4,1
ITEX,5,5,0
GS MANUFACTURING DIV OF 548692 ONTARIO,5,5,0
SLBL MOVING 3354709 CANADA,5,4,1
QUADBRIDGE,4,4,0
ALGONQUIN COLLEGE,4,3,1
OCLC CANADA,4,1,3
CLA PERSONNEL 3056058 CANADA,4,1,3
GRAYMETA,4,4,0
MAPLESOFT CONSULTING,4,3,1
ORKIN CANADA,4,2,2
RA CAINES CONSULTING,4,3,1
GEORGE BLOOD AUDIO VIDEO,4,3,1
OCLC,4,1,3
MELS STUDIOS ET POSTPRODUCTION,4,3,1
NATIONAL ARCHIVAL APPRAISAL BOARD,4,2,2
NAVPOINT CONSULTING GROUP,4,2,2
CENTRE DE TRADUCTION CARON,4,3,1
MEDIAMISER,4,4,0
LUMINA IT,4,2,2
LES TRADUCTIONS TESSIERS SCC,4,2,2
EVOLUTION PROFESSIONAL DESIGN CONSULTANTS,4,3,1
EMSEC SOLUTIONS,4,2,2
SYSTEMSCOPE,4,3,1
DUALICOM,4,3,1
INTERNET ARCHIVE,4,4,0
SQUARED UP,4,4,0
INSTITUTE ON GOVERNANCE,4,4,0
HHB COMMUNICATIONS CANADA,4,4,0
DER GRAPHICS AND CUSTOM FILING,4,4,0
CANADIAN COUNCIL OF ARCHIVES,4,4,0
SIMPLEX GRINNELL,4,3,1
THORNLEY FALLIS COMMUNICATIONS,4,4,0
CTC TRAIN CANADA OTTAWA,4,3,1
HYPERTEC,4,4,0
BOUWDESIGN,3,3,0
RAYMOND CHABOT GRANT THORNTON CONSULTING,3,3,0
PROLOGIC SYSTEMS,3,2,1
PURESPIRIT SOLUTIONS,3,2,1
R D CREATIVE,3,3,0
PLURALSIGHT,3,3,0
OUTSELL,3,3,0
LINSTITUT DE PLANIFICATION DE LA RETRAITE,3,2,1
OLYMPE BACON,3,2,1
ACCESS INFORMATION MANAGEMENT OF CANADA,3,2,1
AHEARN SOPER,3,2,1
BANCTEC CANADA,3,3,0
AB USINAGE 3022331,3,3,0
MULTISHRED,3,3,0
3354709 CANADA,3,1,2
FRONT PORCH DIGITAL,3,3,0
AVI SPL CANADA,3,2,1
ADWARE PROMOTIONS,3,2,1
FGG CONSULTING,3,1,2
LINE BOILY,3,3,0
WEB TRENDS,3,3,0
TURTLE ISLAND STAFFING,3,1,2
EXCO2,3,2,1
XEROX,3,1,2
KNOWLEDGE INTEGRATED,3,3,0
LIVINGSTONE ENTERPRISES,3,2,1
KNOWLEDGE CIRCLE LEARNING SERVICES,3,3,0
Y2 CONSULTING PSYCHOLOGISTS,3,2,1
TELECOM COMPUTER SERVICES,3,3,0
IRON MOUNTAIN SECURE SHREDDING,3,3,0
CARLYLE DESIGN ASSOCIATES,3,2,1
CARAHSOFT TECHNOLOGY,3,2,1
IMDS CANADA,3,3,0
STEVENSON WRITERS,3,3,0
IBM CANADA,3,3,0
STUDIO ECONOMIK,3,3,0
HEMINGWAY DELIVERS,3,3,0
DELOITTE AND TOUCHE,3,3,0
HAWORTH,3,3,0
HACKETT CONSULTING,3,1,2
SINE QUA NON,3,3,0
SENSUS COMMUNICATION SOLUTIONS,3,3,0
CVISION TECHNOLOGIES,3,3,0
CTE SOLUTIONS CERTIFIED TECHNICAL EDUCATION,3,3,0
KAIROS CANADA,3,1,2
CSDC SYSTEMS,3,3,0
SONOTECHNIQUE PJL,3,3,0
CORADIX TECHNOLOGY CONSULTING,2,1,1
PRINTERS PLUS,2,2,0
CONTRACT COMMUNITY,2,1,1
CON TEST,2,1,1
CONSULTANTS EN BATIMENT CABA,2,1,1
PLAN B OFFICE,2,2,0
PRESERVICA,2,2,0
OTTAWA BUSINESS INTERIORS,2,2,0
PACIFIC ART SERVICES,2,2,0
COMMVAULT SYSTEMS,2,2,0
PRIMEBRIDGE CONSULTING,2,2,0
OPROMA,2,1,1
OPTIMA COMMUNICATION,2,2,0
BCRM SERVICES,2,1,1
ONX ENTERPRISE SOLUTIONS,2,2,0
CNW GROUP,2,1,1
OCLC ONLINE COMPUTER LIBRARY CENTER,2,2,0
CLOSEREACH,2,1,1
OFFICEWORK SOFTWARE,2,2,0
CLEANMATTERS JANITORIAL SERVICES,2,1,1
B AND L ELECTRONICS,2,1,1
OCAPDD AOCPDI,2,1,1
GRAYBRIDGE INTERNATIONAL CONSULTING,2,1,1
GRAND AND TOY,2,1,1
NIMBLE INFORMATION STRATEGIES,2,1,1
GLOBAL KNOWLEDGE,2,2,0
GLENCASTLE SECURITY,2,2,0
GERVAIS DESIGN,2,1,1
B3K DIGITAL,2,2,0
CGI,2,2,0
MOBILSHRED RECALL,2,2,0
MGIS,2,2,0
AZUR RESSOURCES HUMAINES,2,1,1
CENTRE FOR CONTINUING EDUCATION UNIVERSITY OF OTTAWA,2,2,0
LUPIEN MATTEAU,2,1,1
