owner_acronym,sum_effective_value
nrc,59386706.98
dnd,13528173.08
dfo,6696325.63
nrcan,6300159.47
ic,3753734.52
ec,2971360.42
esdc,1965184.57
gac,1921758.50
pch,1731670.21
agr,1162441.97
inac,1151078.51
pc,1135714.84
cnsc,1062200.00
rcmp,985057.73
pco,855429.12
ps,849316.27
csa,670508.07
stats,579222.03
fin,572821.93
ircc,545383.77
cra,361355.59
psc,309038.95
csps,266005.63
isc,240481.90
vac,176525.01
just,164334.23
pspc,129407.85
oag,98370.99
infra,71336.34
cer,53875.12
pptc,49488.73
cpc,40703.39
nsira,8440.91
