owner_acronym,sum_effective_value
ssc,3074025685.46
pspc,1205718807.39
cra,135421699.74
dnd,115396993.48
rcmp,84000269.32
esdc,47240782.16
gac,25370573.14
dfo,8278020.15
ec,8146844.45
ic,6887609.00
agr,5649372.37
cbsa,5568551.61
nrc,4430714.95
cer,3805140.10
feddev,3263146.64
tbs,2980678.60
pco,2768306.68
fin,2746063.11
cnsc,2728498.54
stats,2591925.00
hc,2483997.55
phac,2425464.15
psc,2390805.00
ircc,2041515.07
ps,1903786.31
pch,1824071.60
cfia,1586486.00
vac,1564249.34
inac,1455393.78
acoa,1292770.50
csc,1237871.11
nfb,1061994.62
tc,1052844.05
isc,851045.76
pc,709182.69
just,651104.08
cc,578891.02
ced,513451.81
fja,447235.00
ppsc,285552.14
pptc,259052.40
osfi,229919.87
pbc,169299.87
ocl,153074.77
csa,150998.91
nrcan,123622.50
oag,123000.00
cihr,104900.15
infra,98668.24
psic,86644.03
elections,67577.88
wage,62776.06
chrc,59859.39
fcac,54079.36
tsb,42625.84
ijc,17123.06
cas,7227.52
