owner_acronym,total_entries,total_contracts,total_amendments
ssc,938,631,307
dnd,244,211,33
rcmp,220,186,34
gac,199,187,12
cra,197,161,36
pspc,179,124,55
dfo,145,99,46
esdc,96,96,0
nrc,80,59,21
ic,41,32,9
ec,28,16,12
ps,27,27,0
pco,27,16,11
pch,27,17,10
agr,25,15,10
ced,21,19,2
vac,21,20,1
ircc,20,7,13
stats,18,16,2
nfb,16,16,0
hc,14,13,1
feddev,14,6,8
fin,14,14,0
phac,14,13,1
cbsa,13,9,4
fja,13,11,2
tc,13,11,2
pc,12,11,1
tbs,11,8,3
isc,9,9,0
just,8,5,3
psc,8,8,0
pbc,7,7,0
cnsc,7,6,1
pptc,7,2,5
ppsc,7,6,1
csc,7,7,0
ocl,6,4,2
cfia,5,4,1
osfi,5,5,0
psic,5,5,0
elections,4,4,0
infra,3,2,1
inac,3,3,0
oag,3,3,0
wage,3,3,0
csa,3,3,0
cihr,3,3,0
cer,3,3,0
nrcan,3,3,0
cas,2,2,0
fcac,2,2,0
chrc,2,2,0
tsb,1,1,0
ijc,1,1,0
acoa,1,1,0
cc,1,1,0
