owner_acronym,source_year,total_entries,total_contracts,total_amendments
oic,2018,1,1,0
oic,2019,1,1,0
opc,2018,2,2,0
osfi,2016,1,1,0
osfi,2017,5,5,0
osfi,2018,6,6,0
osfi,2019,6,6,0
osgg,2018,1,1,0
osgg,2019,1,1,0
pc,2015,4,4,0
pc,2016,5,3,2
pc,2017,1,0,1
pc,2018,3,3,0
pc,2019,3,3,0
pch,2010,6,5,1
pch,2011,7,6,1
pch,2012,1,1,0
pch,2013,2,2,0
pch,2014,2,2,0
pch,2015,1,0,1
pch,2016,3,2,1
pch,2017,3,3,0
pch,2019,2,2,0
pco,2010,6,4,2
pco,2011,4,4,0
pco,2013,1,1,0
pco,2015,1,1,0
pco,2016,3,3,0
pco,2017,1,1,0
pco,2018,4,4,0
pco,2019,3,3,0
phac,2011,3,3,0
phac,2012,1,1,0
phac,2013,2,2,0
phac,2014,2,2,0
phac,2015,2,2,0
phac,2016,1,1,0
phac,2019,1,1,0
ppsc,2010,2,2,0
ppsc,2011,2,2,0
ppsc,2016,1,1,0
ppsc,2019,1,1,0
pptc,2012,1,1,0
ps,2010,2,2,0
ps,2011,5,5,0
ps,2012,1,1,0
ps,2014,1,1,0
ps,2016,2,2,0
ps,2017,2,2,0
ps,2018,1,1,0
ps,2019,3,2,1
psc,2011,1,1,0
psc,2015,1,1,0
psc,2016,1,1,0
psc,2018,2,2,0
psic,2017,1,1,0
psic,2019,1,1,0
pspc,2010,8,8,0
pspc,2011,6,6,0
pspc,2012,2,2,0
pspc,2013,2,2,0
pspc,2014,5,5,0
pspc,2015,5,2,3
pspc,2016,7,6,1
pspc,2017,11,10,1
pspc,2018,13,11,2
pspc,2019,12,9,3
rcmp,2010,101,100,1
rcmp,2011,68,68,0
rcmp,2012,16,15,1
rcmp,2013,28,28,0
rcmp,2014,10,10,0
rcmp,2015,8,8,0
rcmp,2016,17,16,1
rcmp,2017,15,14,1
rcmp,2018,16,15,1
rcmp,2019,13,12,1
sirc,2016,1,1,0
sirc,2017,4,4,0
sirc,2018,1,1,0
ssc,2012,58,31,27
ssc,2013,32,27,5
ssc,2014,13,12,1
ssc,2015,7,6,1
ssc,2016,27,27,0
ssc,2017,27,25,2
ssc,2018,16,12,4
ssc,2019,21,19,2
stats,2010,10,10,0
stats,2011,11,11,0
stats,2013,2,2,0
stats,2015,1,1,0
stats,2016,3,3,0
stats,2017,2,2,0
stats,2018,1,1,0
stats,2019,2,2,0
swc,2017,7,7,0
tbs,2010,4,2,2
tbs,2011,1,1,0
tbs,2012,1,1,0
tbs,2013,2,2,0
tbs,2016,1,1,0
tbs,2017,2,2,0
tbs,2018,2,2,0
tbs,2019,3,2,1
tc,2011,10,10,0
tc,2012,3,3,0
tc,2013,10,10,0
tc,2014,3,3,0
tc,2016,4,4,0
tc,2017,4,4,0
tc,2018,2,2,0
tc,2019,3,3,0
vac,2013,1,1,0
vac,2014,3,2,1
vac,2015,1,1,0
vac,2018,1,1,0
wage,2018,1,1,0
wage,2019,2,2,0
