owner_acronym,sum_effective_value
rcmp,24744110.59
ssc,16807702.07
esdc,16580995.31
gac,14358287.96
ircc,14325621.80
just,10865815.49
ec,5321084.50
ic,5263305.37
dnd,4874661.49
pch,4262241.46
dfo,4115017.71
cra,3896541.32
nrcan,3575207.46
pspc,2951942.57
stats,2363562.08
csc,2282383.84
tc,1964830.52
nfb,1614058.79
cbsa,1279666.94
nrc,933243.98
fintrac,871526.75
cnsc,852033.43
pco,806866.23
pc,799036.20
ppsc,797706.56
elections,788077.77
cihr,742730.36
inac,683581.94
sirc,669241.53
csa,613442.50
agr,502508.80
tbs,428081.46
hc,426921.96
fja,402325.16
crtc,355097.75
cas,340164.79
ced,324819.67
vac,317340.34
acoa,306590.25
cfia,306134.75
ps,300607.73
osfi,262616.95
atssc,248344.62
cgc,238955.43
lac,205771.79
feddev,193181.19
phac,167172.19
nserc,161768.52
ocol,159391.28
chrc,135536.86
oag,129394.76
infra,121760.47
iaac,121047.60
psc,119646.09
swc,104214.07
isc,56544.14
pptc,49583.10
csps,42113.66
oic,41574.22
fcac,37619.73
opc,35797.61
psic,22355.46
tsb,20120.63
wage,19766.23
cer,17037.34
mpcc,16950.00
osgg,16531.90
cta,14961.13
mgerc,14334.33
irb,11715.12
cics,11625.21
