owner_acronym,total_entries,total_contracts,total_amendments
hc,170,136,34
phac,142,119,23
dnd,98,85,13
ec,83,36,47
pspc,72,54,18
esdc,69,64,5
tc,51,46,5
dfo,39,27,12
ic,35,27,8
nrc,29,16,13
ssc,25,17,8
csc,22,20,2
fja,20,13,7
cra,19,13,6
inac,18,12,6
nrcan,17,16,1
gac,17,10,7
fin,9,4,5
pc,7,6,1
agr,7,3,4
isc,7,5,2
just,7,7,0
lac,6,4,2
elections,6,6,0
csa,5,5,0
stats,5,5,0
vac,4,4,0
cbsa,4,3,1
sshrc,4,4,0
nserc,3,1,2
pco,3,2,1
ircc,3,2,1
csps,3,2,1
pbc,3,3,0
cnsc,2,2,0
pch,2,2,0
psc,2,2,0
pptc,2,1,1
pmprb,2,1,1
ps,2,1,1
iaac,1,1,0
infra,1,1,0
ppsc,1,1,0
fcac,1,1,0
tsb,1,1,0
