owner_acronym,sum_effective_value
esdc,486079698.82
dnd,15096463.92
hc,5633091.08
phac,5256845.82
ec,3908318.73
pspc,3134470.61
tc,1765744.21
nrc,1747875.28
dfo,1214316.64
ic,693420.37
csc,652947.63
ssc,570032.85
nrcan,557510.84
fja,504252.47
pptc,333523.80
inac,333432.82
ircc,286026.93
gac,250725.53
csa,245388.01
just,231463.03
cra,212147.44
fin,161103.74
isc,145559.49
sshrc,135725.27
lac,127314.64
ps,126555.48
pc,121151.42
agr,82260.66
pco,81348.14
vac,77905.51
pch,64112.75
pbc,59611.00
tsb,58611.63
csps,54116.82
psc,51026.14
ppsc,49176.20
elections,48013.56
stats,45921.28
cnsc,40755.01
cbsa,39785.05
nserc,35684.61
fcac,32938.52
pmprb,24809.72
infra,20535.53
iaac,325.10
