source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2014,753,317,56,380,5115208.84,1388612.38,110142543.11
2015,765,286,72,407,4631305.10,1782293.60,227249243.91
2016,595,261,28,306,4093673.18,690022.44,235038488.36
2017,797,284,28,485,4471549.10,694615.89,348586641.30
2018,736,331,44,361,5225221.19,1095216.06,230215135.85
2019,979,333,59,587,5217928.94,1458443.33,318072392.23
