source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2014,753,366,387,6325806.34,110320557.99
2015,765,351,414,6236216.84,227426625.77
2016,595,288,307,4758632.22,235063551.76
2017,797,306,491,5013651.33,348739154.96
2018,736,365,371,6066807.36,230468765.74
2019,979,383,596,6448276.39,318300488.11
