owner_acronym,sum_effective_value
ssc,125736166.91
dnd,61625167.90
cra,11364644.77
ps,3436928.35
nrcan,3088333.83
rcmp,1927716.93
osfi,1498028.68
cnsc,1483994.69
tbs,1392971.72
pspc,1161952.52
ic,1035978.38
cbsa,1015519.56
ec,988267.84
gac,975309.82
dfo,948703.87
tc,695439.80
csa,681940.10
pch,658311.63
pco,597425.88
stats,593661.85
oag,540666.54
hc,530978.76
agr,475472.56
fja,443208.10
esdc,343961.68
phac,337960.50
nrc,289672.30
cas,260736.27
lac,257293.11
cihr,246325.66
ircc,232882.41
psc,228376.00
atssc,225055.46
csps,201633.11
ocl,139136.21
cgc,119948.88
nserc,77854.79
opc,75173.62
pc,69428.81
inac,61010.34
mgerc,50745.32
sirc,49195.72
iaac,42854.41
oic,35510.03
pptc,24696.00
osgg,17935.08
fin,13500.11
fintrac,10352.56
