owner_acronym,total_entries,total_contracts,total_amendments
dnd,718,587,131
rcmp,70,62,8
ssc,18,17,1
csc,17,12,5
gac,11,11,0
dfo,8,7,1
cbsa,6,6,0
pspc,6,6,0
tbs,5,4,1
tc,5,5,0
ec,5,5,0
pco,4,4,0
ircc,4,4,0
ic,3,3,0
agr,3,2,1
esdc,3,3,0
inac,3,3,0
just,3,3,0
csa,2,2,0
nrcan,2,2,0
acoa,1,1,0
ppsc,1,1,0
fintrac,1,1,0
cra,1,1,0
cnsc,1,1,0
nrc,1,1,0
ced,1,1,0
pch,1,1,0
