owner_acronym,sum_effective_value
ssc,54265047.48
rcmp,26827581.31
dnd,11969871.76
ic,4381246.01
stats,3153470.88
ec,3079907.25
esdc,2818529.15
cfia,1813552.58
tc,1216879.33
hc,1103979.11
fcac,941723.94
just,852888.24
cbsa,788908.23
pch,718345.29
csc,476003.51
osfi,415949.63
nrcan,401048.87
lac,277425.97
gac,267701.69
ps,263146.53
osgg,225936.27
cihr,225314.42
feddev,187909.40
cpc,181462.90
csps,164302.61
dfo,163233.40
nrc,159559.00
cra,158311.11
agr,142002.82
acoa,78913.35
pspc,78055.28
psc,77967.00
pc,61229.49
cas,53453.82
phac,42441.33
inac,34347.81
ced,30379.27
fin,26797.95
opc,10195.99
