vendor_normalized,effective_year,sum_yearly_value
ACNIELSEN COMPANY OF CANADA,2018,38863.53
ACNIELSEN COMPANY OF CANADA,2019,38863.53
ANTHONY MACAULEY ASSOCIATES VICTORIA,2018,212884.15
ANTHONY MACAULEY ASSOCIATES VICTORIA,2019,347833.01
AVI SPL CANADA,2018,53699.52
AVI SPL CANADA,2019,96370.02
BOYDEN CALGARY,2019,105000.00
CLIFTON ENGINEERING GROUP,2019,183750.00
CLUSTER NAVIGATORS,2018,36109.97
CLUSTER NAVIGATORS,2019,51016.88
OXFORD ECONOMICS USA,2019,202805.38
PRICEWATERHOUSE COOPERS,2018,83271.30
PRICEWATERHOUSE COOPERS,2019,20653.50
THE CENTRE FOR INNOVATION STUDIES THECIS,2019,69931.05
WATERSMART SOLUTIONS,2019,102290.00
