owner_acronym,sum_effective_value
dnd,111555532.44
esdc,104396698.39
ssc,83541397.24
pspc,46775476.23
gac,10845765.67
phac,8578035.77
ic,5948637.68
hc,5508648.83
inac,5087853.82
cbsa,4874572.07
ircc,4027241.54
tbs,3463984.79
elections,3460947.75
nrc,3168438.16
nrcan,1810262.26
agr,1637024.46
infra,1482684.54
pco,1467665.48
tc,1341104.87
rcmp,1266163.12
dfo,973222.26
cfia,927379.50
vac,912052.68
oag,834260.09
stats,763880.00
cra,443835.03
ced,439898.02
osfi,298731.46
ec,252026.50
ps,247526.50
pch,236226.51
cnsc,195890.36
psc,192728.44
cc,116578.00
pc,107127.97
wd,103924.80
nserc,103861.13
fin,100473.95
cgc,65090.34
ppsc,51292.96
cihr,39211.00
irb,37468.01
psic,24973.00
csc,24860.00
lac,24860.00
crtc,22696.43
csa,21000.00
