owner_acronym,total_entries,total_contracts,total_amendments
esdc,763,471,292
gac,121,97,24
pspc,92,62,30
ssc,72,38,34
dnd,67,38,29
ic,60,37,23
ircc,39,20,19
rcmp,35,23,12
nrc,33,21,12
oag,30,27,3
dfo,25,14,11
agr,19,11,8
nrcan,19,15,4
tc,18,15,3
tbs,17,13,4
cbsa,16,11,5
inac,15,12,3
hc,15,8,7
cfia,13,7,6
phac,12,8,4
osfi,7,3,4
pco,7,6,1
cnsc,7,6,1
cra,7,4,3
wd,6,6,0
infra,4,3,1
ec,4,4,0
stats,3,3,0
ced,3,2,1
psc,3,2,1
ps,3,3,0
pch,3,1,2
pc,3,3,0
fin,2,2,0
atssc,2,1,1
cgc,2,1,1
cihr,2,2,0
crtc,2,2,0
csc,2,2,0
elections,2,2,0
irb,2,2,0
ppsc,2,1,1
psic,1,1,0
nserc,1,1,0
lac,1,1,0
isc,1,1,0
csa,1,1,0
vac,1,1,0
cc,1,1,0
