owner_acronym,sum_effective_value
ssc,66454369.91
ircc,21954708.66
rcmp,15241777.58
inac,7892494.50
dnd,4846723.52
esdc,4822039.88
cbsa,2207580.27
stats,1415786.29
cra,1352637.40
psc,1269961.00
agr,890984.00
ec,787593.41
pspc,623913.95
dfo,582971.02
pch,492908.58
hc,374843.65
infra,365604.72
ps,355353.16
pptc,339001.92
ic,243211.00
fin,216351.25
csc,193802.91
phac,162148.76
cnsc,149868.41
elections,105914.97
pc,103147.80
tbs,49654.56
cfia,33900.00
tc,24295.00
iaac,22000.00
nrc,13172.00
fcac,11813.00
