owner_acronym,sum_effective_value
ssc,2158018239.88
cra,379903472.99
pspc,360112889.68
dnd,315466545.77
rcmp,87042708.71
agr,68498580.27
cbsa,55196867.95
esdc,54090446.55
tbs,35244901.15
elections,22432294.35
dfo,22297372.70
gac,15507744.55
ic,13562920.64
phac,11512675.08
ircc,11118629.32
hc,7982414.79
stats,7678969.81
inac,5506055.32
pc,3610007.64
tc,3585490.00
cfia,3444618.61
vac,3335953.26
cnsc,2498950.16
csc,2413603.53
pptc,1709537.24
ec,1673950.71
isc,1460887.46
nrcan,1137869.86
infra,1065458.06
osfi,713664.43
ps,508000.64
fintrac,449110.67
nrc,393572.04
psc,308486.24
pch,288434.51
just,219904.87
pco,195628.70
atssc,152032.83
cihr,136458.35
lac,124162.71
nfb,113894.89
nserc,83099.44
csa,69992.18
cgc,64584.38
ppsc,40824.76
ccohs,32047.18
crtc,26063.45
fin,23042.62
cas,22251.62
cpc,15981.03
csps,-14673.15
