owner_acronym,sum_effective_value
inac,87121337.73
esdc,25294088.34
csc,23791955.37
cfia,16664173.56
dfo,16527338.58
agr,14893653.01
dnd,9988407.28
pspc,7368892.47
ssc,6168240.29
cbsa,5842515.39
phac,4325170.93
gac,2859765.08
hc,2649412.44
tbs,2220156.71
ircc,2176071.72
pc,1390579.08
elections,991010.39
just,956133.13
ic,876916.00
rcmp,846015.37
psc,629408.00
nrcan,567632.51
tc,519504.52
cas,519240.35
isc,457406.16
stats,454147.61
chrc,400493.50
iaac,358180.00
osfi,339750.86
ps,337380.19
cta,260180.36
cer,201427.36
acoa,157168.60
nrc,149530.38
infra,132664.26
ec,128072.00
cihr,123693.30
fcac,74919.00
pco,71190.00
wage,52313.63
tsb,50589.00
cnsc,50248.30
oic,38988.31
ppsc,35549.54
mpcc,27120.00
fin,24690.50
pptc,13324.50
