owner_acronym,total_entries,total_contracts,total_amendments
dfo,177,106,71
esdc,153,74,79
cfia,147,82,65
inac,125,106,19
agr,62,32,30
dnd,44,40,4
gac,39,19,20
hc,23,15,8
phac,21,15,6
cbsa,20,15,5
ssc,19,14,5
pspc,14,10,4
rcmp,14,10,4
ps,11,11,0
ic,11,8,3
isc,11,10,1
just,10,8,2
ircc,10,5,5
tbs,9,7,2
psc,9,4,5
elections,8,4,4
ec,7,5,2
csc,7,3,4
pc,7,3,4
nrcan,7,6,1
cas,6,4,2
stats,5,5,0
fcac,4,1,3
iaac,4,2,2
cer,4,3,1
acoa,3,3,0
infra,3,2,1
nrc,3,3,0
wage,2,1,1
osfi,2,2,0
cta,2,1,1
cnsc,2,2,0
cihr,2,2,0
chrc,2,2,0
tc,2,2,0
tsb,2,2,0
ppsc,1,1,0
pptc,1,1,0
oic,1,1,0
mpcc,1,1,0
fin,1,1,0
pco,1,1,0
