owner_acronym,sum_effective_value
pspc,151863207.01
ircc,122287803.36
esdc,113172168.53
ssc,77537782.39
cra,71377943.84
dnd,69765932.78
stats,21044406.82
dfo,16745143.22
rcmp,15599467.69
tc,14755091.31
cfia,13011738.27
gac,10355126.70
inac,8768388.98
ic,7806455.69
agr,6974841.16
ec,5320024.73
psc,3325330.00
isc,3216069.63
nrcan,2946119.00
vac,2535178.00
elections,2462752.88
csa,2198925.08
tbs,2017463.58
ced,1948190.27
cbsa,1779284.74
hc,1622873.46
phac,1394495.76
infra,1381862.01
cihr,1327394.11
nrc,1079522.13
pc,954439.11
cas,874928.46
lac,706106.05
acoa,618431.28
pch,583073.72
pptc,397312.49
csc,310407.04
chrc,307457.77
fintrac,192438.55
nfb,180854.65
just,150582.76
cta,103912.91
nserc,78332.37
sshrc,76426.86
pco,60987.47
oag,43132.03
ijc,27651.20
cnsc,13427.54
wd,6775.87
