owner_acronym,total_entries,total_contracts,total_amendments
ircc,115,95,20
pspc,107,70,37
dnd,88,83,5
rcmp,83,82,1
ssc,73,55,18
esdc,67,62,5
stats,48,48,0
dfo,39,31,8
gac,36,24,12
nrc,35,35,0
cfia,34,30,4
ic,34,31,3
tc,27,24,3
inac,27,26,1
cra,23,14,9
cbsa,19,19,0
ced,18,17,1
ec,18,15,3
csa,17,17,0
vac,16,16,0
cihr,15,14,1
nrcan,13,12,1
agr,13,13,0
phac,12,12,0
infra,11,10,1
acoa,10,10,0
pc,10,10,0
psc,8,6,2
lac,7,7,0
nfb,7,7,0
pptc,6,6,0
cta,6,6,0
cas,6,6,0
pch,5,4,1
elections,4,4,0
nserc,4,4,0
hc,4,4,0
oag,3,3,0
isc,3,3,0
chrc,3,3,0
fintrac,2,2,0
csc,2,2,0
tbs,2,2,0
pco,2,2,0
sshrc,2,2,0
just,1,1,0
ijc,1,1,0
wd,1,1,0
