owner_acronym,sum_effective_value
csa,833560925.87
dnd,110817379.83
nrcan,8423514.70
nrc,6976875.16
rcmp,2196626.25
dfo,1054336.06
ec,561476.81
gac,268086.09
stats,175975.28
pc,175187.25
pspc,117888.26
inac,112050.17
ic,74118.00
agr,15385.66
