source_year,total_original_entries,entries_below_24k,entries_between_24k_and_26k,entries_above_26k,original_sum_below_24k,original_sum_between_24k_and_26k,original_sum_above_26k
2010,354,136,31,187,2269717.68,768732.76,39752101.98
2011,343,114,52,177,1851978.10,1289535.04,406871763.57
2012,194,80,22,92,1383434.79,545538.77,38627211.65
2013,185,69,27,89,1159707.69,669095.72,43257843.50
2014,167,53,19,95,885711.33,471699.98,29204619.91
2015,175,59,35,81,1031168.67,868598.67,48075929.33
2016,186,55,28,103,948098.54,695838.97,45343933.98
2017,211,62,53,96,1103604.04,1313409.86,26224042.63
2018,283,84,73,126,1383312.74,1808726.39,107687992.18
2019,296,91,39,166,1546229.97,964763.49,69479165.36
