source_year,total_original_entries,entries_below_25k,entries_above_25k,original_sum_below_25k,original_sum_above_25k
2010,354,161,193,2885317.47,39905234.95
2011,343,154,189,2838066.45,407175210.26
2012,194,101,93,1903463.81,38652721.40
2013,185,94,91,1777864.30,43308782.61
2014,167,72,95,1357411.31,29204619.91
2015,175,89,86,1773616.46,48202080.21
2016,186,82,104,1618937.51,45368933.98
2017,211,110,101,2291588.95,26349467.58
2018,283,155,128,3141013.59,107739017.72
2019,296,128,168,2460037.36,69530121.46
