vendor_normalized,sum_effective_value
SUN LIFE ASSURANCE COMPANY,329838816.05
BROOKFIELD ASSET MANAGEMENT,123642750.00
SYSTEMATIX SOLUTIONS,42042136.28
IBM CANADA,35244901.15
SOCIETE GAMMA,26080807.01
DELOITTE AND TOUCHE,23890819.50
GARTNER,21245719.83
CACHE COMPUTER CONSULTING,18838832.08
CONFLUENCE CONSULTING,15668435.61
GSI GROUP,12910087.75
GENERAL DYNAMICS,12670243.98
MICROSOFT CANADA,12014977.01
EXCEL HUMAN RESOURCES,11646374.31
NORTHERN MICRO,10700167.15
DYNAMEX CANADA,9492896.82
3261620 CANADA OP CENTRE DE,8907639.81
GC STRATEGIES,8167706.50
SI SYSTEMS,8162633.19
THE AIM GROUP,7413609.74
CGI,7310645.16
PLEIAD CANADA,7128921.53
I4C INFORMATION TECHNOLOGY,6692425.00
IBISKA TELECOM,6453519.27
ALTIS HUMAN RESOURCES,5853815.92
QMR,5757620.54
TERAMACH TECHNOLOGIES,5404324.81
VERITAAQ TECHNOLOGY HOUSE,5239521.83
SAP,4935622.12
ERNST YOUNG,4847328.01
CANADIAN CORPS OF COMMISSIONAIRES,4720543.59
KPMG,4359450.91
GOSS GILROY,4357229.03
NISHA TECHONOLOGIES,4355031.45
TIREE,4290058.86
INSIGHT SOFTWARE CANADA,4163741.43
ORACLE CANADA,3968354.34
PRICEWATERHOUSE COOPERS,3463984.79
ADVANCED CHIPPEWA TECHNOLOGIES,3400506.07
HAY GROUP,3296791.74
KONICA MINOLTA BUSINESS SOLUTIONS,3032949.68
TEKSYSTEMS CANADA,2912867.28
CONTRACT COMMUNITY,2819466.97
LUMINA IT,2774551.77
TES CONTRACT SERVICES,2656391.67
THE MASHA KRUPP TRANSLATION,2622621.30
BELL CANADA,2610807.89
RANDSTAD,2485510.61
PATON ASSOCIATES MANAGEMENT,2289291.23
DONNA CONA,2220156.71
RAVEN IT SECURITY,2120584.00
CONEXSYS,2073615.14
BDO CANADA,2034795.02
METAFLOW,1943487.00
BURNTEDGE,1897479.87
MERCER CANADA,1893052.27
ECOLE DE LANGUES LA CITE,1830612.50
CLOSEREACH,1816253.64
GSI INTERNATIONAL CONSULTING GROUP,1805618.92
TRM TECHNOLOGIES,1777898.03
SAS INSTITUTE,1750047.52
TESSIER TRANSLATIONS,1646180.26
CISTEL TECHNOLOGY,1632284.98
LES TRADUCTIONS TESSIER SCC,1511784.06
SYSTEMSCOPE,1456375.83
3261620 CANADA,1433527.12
ITEX,1392971.72
MODIS CANADA,1383259.92
LIONBRIDGE,1374833.34
ORANGUTECH,1304150.67
BURA SOLUTIONS,1287208.67
HYPERTEC,1230817.53
1804915 ONTARIO,1195594.24
PROCOM CONSULTANTS,1157769.75
IT NET CONSULTANTS,1153730.00
VMWARE,1107729.07
THE HALIFAX GROUP,1084308.85
ORBIS RISK CONSULTING,1070705.13
LEDBETTER ASSOCIATES,989073.79
TFORCE FINAL MILE,960500.00
MAXSYS PROFESSIONAL AND,953989.80
SHARP ELECTRONICS,945821.31
ECLIPSYS SOLUTIONS,930318.46
SOMOS,923815.75
4PLAN CONSULTING,922619.14
LANNICK CONTRACT SOLUTIONS,918083.57
ACOLE DE LANGUES DE LESTRIE,870314.13
NEO INSIGHT,838239.65
MAXSYS STAFFING CONSULTING,827843.20
NITRO MICROSYSTEMS,823742.10
OPROMA,808772.08
CANADIAN BROADCASTER RIGHTS,759433.26
NRNS,743540.00
CBCI TELECOM,718948.18
ROBERTSON COMPANY,712024.48
MAPLESOFT CONSULTING,696545.29
MAXSYS PROFESSIONAL AND SOLUTIONS,683282.75
AJILON,682120.10
MEDIA Q,681243.51
THE CANADIAN PRESS,676935.37
TPG TECHNOLOGY CONSULTANTS,666666.67
CORETRACKS,663310.00
TELUS CANADA,645503.85
LIGHTNING TREE CONSULTING,642320.25
LEVERAGE TECHNOLOGY RESOURCES,619193.67
MURRAY MANAGEMENT CONSULTING,613058.36
GSI INTERNATIONAL GROUP,610915.00
IPSS,599389.30
NAKISA,582760.00
INTEGRATED NETWORK SECURITY,572033.01
DELL COMPUTER,559716.45
WATERSHED INFORMATION TECHNOLOGY IN,557951.63
SYMANTEC,557197.44
