gen_vendor_normalized,source_year,total_entries,total_contracts,total_amendments
ADVANCED CHIPPEWA TECHNOLOGIES,2010,2,2,0
ADVANCED CHIPPEWA TECHNOLOGIES,2011,5,4,1
ADVANCED CHIPPEWA TECHNOLOGIES,2012,3,1,2
ADVANCED CHIPPEWA TECHNOLOGIES,2013,4,3,1
ADVANCED CHIPPEWA TECHNOLOGIES,2014,6,3,3
ADVANCED CHIPPEWA TECHNOLOGIES,2015,2,2,0
ADVANCED CHIPPEWA TECHNOLOGIES,2016,5,4,1
ADVANCED CHIPPEWA TECHNOLOGIES,2017,2,2,0
ADVANCED CHIPPEWA TECHNOLOGIES,2018,3,3,0
ADVANCED CHIPPEWA TECHNOLOGIES,2019,3,3,0
ALTIS HUMAN RESOURCES,2010,6,4,2
ALTIS HUMAN RESOURCES,2011,2,0,2
ALTIS HUMAN RESOURCES,2012,3,3,0
ALTIS HUMAN RESOURCES,2013,7,6,1
ALTIS HUMAN RESOURCES,2014,1,1,0
ALTIS HUMAN RESOURCES,2015,1,0,1
ALTIS HUMAN RESOURCES,2016,4,3,1
ALTIS HUMAN RESOURCES,2017,7,6,1
ALTIS HUMAN RESOURCES,2018,7,6,1
ALTIS HUMAN RESOURCES,2019,1,1,0
DELOITTE AND TOUCHE,2010,1,1,0
DELOITTE AND TOUCHE,2011,7,5,2
DELOITTE AND TOUCHE,2012,3,3,0
DELOITTE AND TOUCHE,2013,5,5,0
DELOITTE AND TOUCHE,2014,2,1,1
DELOITTE AND TOUCHE,2015,6,6,0
DELOITTE AND TOUCHE,2016,3,2,1
DELOITTE AND TOUCHE,2017,2,1,1
DELOITTE AND TOUCHE,2018,4,4,0
DELOITTE AND TOUCHE,2019,7,5,2
EXCEL HUMAN RESOURCES,2010,15,7,8
EXCEL HUMAN RESOURCES,2011,7,5,2
EXCEL HUMAN RESOURCES,2012,5,2,3
EXCEL HUMAN RESOURCES,2013,6,3,3
EXCEL HUMAN RESOURCES,2014,2,1,1
EXCEL HUMAN RESOURCES,2015,5,3,2
EXCEL HUMAN RESOURCES,2016,3,2,1
EXCEL HUMAN RESOURCES,2017,3,1,2
EXCEL HUMAN RESOURCES,2018,5,4,1
EXCEL HUMAN RESOURCES,2019,1,1,0
GARTNER,2010,5,5,0
GARTNER,2011,2,2,0
GARTNER,2012,6,6,0
GARTNER,2013,9,8,1
GARTNER,2014,13,12,1
GARTNER,2015,17,16,1
GARTNER,2016,23,21,2
GARTNER,2017,9,9,0
GARTNER,2018,15,15,0
GARTNER,2019,9,9,0
KONICA MINOLTA BUSINESS SOLUTIONS,2010,14,11,3
KONICA MINOLTA BUSINESS SOLUTIONS,2011,18,16,2
KONICA MINOLTA BUSINESS SOLUTIONS,2012,5,1,4
KONICA MINOLTA BUSINESS SOLUTIONS,2016,2,2,0
KONICA MINOLTA BUSINESS SOLUTIONS,2018,1,0,1
KONICA MINOLTA BUSINESS SOLUTIONS,2019,2,0,2
MICROSOFT CANADA,2010,1,1,0
MICROSOFT CANADA,2011,5,4,1
MICROSOFT CANADA,2012,8,6,2
MICROSOFT CANADA,2013,4,2,2
MICROSOFT CANADA,2014,3,2,1
MICROSOFT CANADA,2015,3,1,2
MICROSOFT CANADA,2016,7,3,4
MICROSOFT CANADA,2017,3,3,0
MICROSOFT CANADA,2018,6,5,1
MICROSOFT CANADA,2019,6,4,2
NORTHERN MICRO,2010,3,2,1
NORTHERN MICRO,2011,1,1,0
NORTHERN MICRO,2012,5,4,1
NORTHERN MICRO,2013,6,5,1
NORTHERN MICRO,2014,6,5,1
NORTHERN MICRO,2015,6,6,0
NORTHERN MICRO,2016,5,5,0
NORTHERN MICRO,2017,9,8,1
NORTHERN MICRO,2018,5,5,0
NORTHERN MICRO,2019,7,7,0
QMR,2010,5,1,4
QMR,2011,2,2,0
QMR,2012,3,2,1
QMR,2013,3,2,1
QMR,2014,3,2,1
QMR,2015,2,2,0
QMR,2016,4,2,2
QMR,2017,3,3,0
QMR,2018,4,4,0
QMR,2019,10,8,2
SYSTEMATIX SOLUTIONS,2010,5,2,3
SYSTEMATIX SOLUTIONS,2011,3,1,2
SYSTEMATIX SOLUTIONS,2012,3,1,2
SYSTEMATIX SOLUTIONS,2013,4,2,2
SYSTEMATIX SOLUTIONS,2014,4,3,1
SYSTEMATIX SOLUTIONS,2015,3,2,1
SYSTEMATIX SOLUTIONS,2016,8,3,5
SYSTEMATIX SOLUTIONS,2017,12,1,11
SYSTEMATIX SOLUTIONS,2018,8,6,2
SYSTEMATIX SOLUTIONS,2019,4,2,2
