owner_acronym,sum_effective_value
gac,19870057.61
pspc,15455439.57
cfia,12556123.93
hc,10536680.83
dnd,8949587.15
tbs,8752810.14
ic,6185602.98
ssc,6119679.62
phac,5479639.64
stats,3193447.80
just,2695106.98
dfo,2217357.70
ircc,1783784.63
nrc,1504964.45
csa,1302816.32
nrcan,1266962.44
ec,1175739.66
elections,1116734.56
inac,636657.03
cnsc,517160.47
ps,454189.38
tc,442289.97
cra,292291.06
opc,268514.36
cbsa,248600.00
lac,208639.00
oic,193173.09
csc,179862.00
pch,174059.42
swc,163528.94
esdc,161002.80
ppsc,137091.90
cihr,130176.00
psc,123119.00
feddev,106294.80
fintrac,99440.00
pptc,98476.88
nserc,93970.81
isc,49574.35
pco,43731.00
fcac,25000.00
fin,24983.44
pmprb,24860.00
osfi,24408.00
chrc,18193.00
