owner_acronym,total_entries,total_contracts,total_amendments
pspc,228,138,90
cfia,163,74,89
gac,157,103,54
hc,125,75,50
ic,105,66,39
dfo,88,47,41
dnd,84,65,19
phac,74,54,20
ssc,47,21,26
nrc,39,27,12
ircc,32,22,10
ec,32,18,14
tbs,26,18,8
inac,25,17,8
just,24,14,10
nrcan,22,18,4
tc,17,11,6
csa,14,12,2
atssc,13,6,7
opc,13,6,7
stats,13,13,0
ps,9,7,2
pch,8,7,1
cnsc,7,4,3
feddev,7,2,5
lac,7,4,3
cbsa,6,4,2
elections,6,4,2
fcac,6,5,1
esdc,5,5,0
cra,5,3,2
csc,4,4,0
psc,4,3,1
infra,4,3,1
isc,3,3,0
osfi,3,2,1
osgg,3,1,2
pptc,2,1,1
ocl,2,2,0
swc,2,2,0
nserc,2,1,1
fin,2,1,1
oag,1,1,0
agr,1,1,0
cihr,1,1,0
chrc,1,1,0
pc,1,1,0
fintrac,1,1,0
oic,1,1,0
pco,1,1,0
pmprb,1,1,0
ppsc,1,1,0
