owner_acronym,sum_effective_value
pspc,92050438.21
esdc,2767288.19
tc,2179007.41
dnd,1734442.05
ic,1494199.97
stats,1409882.87
inac,1024270.61
cra,923113.71
gac,888036.46
nrcan,641400.38
ssc,614065.21
just,591498.52
isc,507199.82
ec,502482.22
ircc,488412.36
pch,457431.73
hc,392826.23
rcmp,354867.22
phac,293350.89
iaac,252255.00
csa,204059.70
ced,197758.14
cfia,187440.32
dfo,179062.38
cbsa,178270.79
cnsc,162324.50
agr,148999.76
fja,114974.40
oag,109782.53
ocol,99417.36
tbs,99152.98
csc,87262.20
acoa,48185.00
nrc,47851.61
atssc,42387.30
cihr,40678.96
vac,33864.66
feddev,31640.00
ps,25598.47
nserc,24860.00
crtc,19258.01
wd,15413.18
ppsc,12416.25
