owner_acronym,total_entries,total_contracts,total_amendments
ic,57,50,7
pspc,53,35,18
nrcan,33,31,2
dnd,25,22,3
stats,24,24,0
ircc,16,12,4
csa,14,14,0
gac,13,12,1
rcmp,12,8,4
ssc,12,10,2
esdc,11,10,1
pch,11,9,2
hc,10,9,1
dfo,10,10,0
phac,10,8,2
inac,10,10,0
cfia,9,8,1
fja,8,8,0
cra,8,6,2
tc,7,6,1
cnsc,7,7,0
nrc,5,5,0
oag,5,5,0
ec,5,2,3
iaac,5,3,2
agr,5,5,0
ps,4,4,0
pco,3,3,0
atssc,3,1,2
ced,3,3,0
csc,3,3,0
isc,3,3,0
tbs,3,3,0
ocol,2,2,0
chrc,2,1,1
wd,2,2,0
vac,2,2,0
acoa,2,2,0
just,2,2,0
cihr,2,2,0
nserc,1,1,0
cbsa,1,1,0
feddev,1,1,0
crtc,1,1,0
