owner_acronym,sum_effective_value
rcmp,250221469.15
dnd,74392591.17
csc,15367911.03
dfo,12484873.91
pc,12326727.71
ec,7540539.40
hc,7102426.14
cbsa,4932674.96
agr,3813947.52
phac,3506853.70
tc,2754535.96
cfia,2348570.37
pspc,1920906.68
nrcan,1213133.73
ic,1172764.71
gac,1055674.72
esdc,924319.73
nrc,773264.37
cra,420951.26
isc,376288.88
cnsc,342111.23
inac,272449.16
acoa,247396.62
pco,197969.37
tsb,172512.84
ced,162663.99
feddev,148185.16
nbc,82513.00
ircc,77921.42
pbc,64152.90
pch,63957.20
tbs,56247.22
ppsc,50918.70
infra,45690.42
ps,40439.54
cihr,34255.00
just,32479.86
ocol,32084.85
stats,29987.04
cer,26679.45
vac,24984.75
fin,19694.77
csa,14510.48
