owner_acronym,total_entries,total_contracts,total_amendments
dnd,875,859,16
dfo,381,326,55
pc,344,343,1
csc,288,261,27
rcmp,237,231,6
ec,197,193,4
agr,94,80,14
hc,68,63,5
cbsa,67,65,2
phac,63,58,5
tc,54,54,0
pspc,42,41,1
ic,30,28,2
gac,29,28,1
nrcan,28,28,0
cfia,22,22,0
nrc,22,22,0
esdc,14,13,1
cra,12,12,0
isc,7,7,0
inac,7,7,0
cnsc,6,6,0
tsb,5,5,0
feddev,4,2,2
pco,4,4,0
acoa,4,4,0
nbc,3,3,0
ps,3,3,0
ced,3,3,0
csa,2,2,0
tbs,2,2,0
vac,2,2,0
cihr,2,1,1
ssc,2,2,0
fin,1,1,0
cer,1,1,0
stats,1,1,0
ircc,1,1,0
pbc,1,1,0
ocol,1,1,0
infra,1,1,0
pch,1,1,0
ppsc,1,1,0
just,1,1,0
