owner_acronym,sum_effective_value
ssc,246071796.99
pspc,26525612.47
stats,13125668.93
ec,12881854.79
dnd,10150226.48
tbs,6473973.71
rcmp,5895784.03
ic,3454991.51
phac,3179500.06
hc,3133149.74
cra,3125206.46
ps,2772560.66
ircc,2676490.18
csc,2616801.45
esdc,2270718.03
dfo,2254015.22
elections,1878211.87
just,1758003.14
osfi,1397643.00
lac,1311265.70
tc,1276949.70
nrc,1102970.72
cnsc,1002492.23
nrcan,840215.01
atssc,655843.69
csa,515478.92
fintrac,491923.79
vac,459297.43
gac,377461.89
psc,293803.00
pch,277320.49
fin,239020.58
cfia,230178.00
pco,187853.27
oag,113991.03
cihr,112781.32
pptc,103356.34
crtc,56905.04
